oligos_id,total_per_sample
1173R..pool685,89426
1173S..pool717,323518
1173T..pool780,148394
1174A..pool717,364596
1174B..pool717,324530
1174C..pool717,318140
1174D..pool717,437314
1174E..pool717,334972
1174F..pool717,319982
1174G..pool717,327282
1174H..pool717,301160
1174I..pool717,278196
1174J..pool717,235716
1174K..pool718,185468
1174L..pool718,208572
1174M..pool718,197622
1176A..pool655,63954
1176AA..pool718,166480
1176B..pool655,125318
1176BB..pool657,245466
1176C..pool655,48886
1176D..pool655,71728
1176E..pool655,29744
1176F..pool718,202306
1176G..pool718,161854
1176H..pool655,70412
1176I..pool656,121388
1176J..pool718,147984
1176K..pool656,86062
1176L..pool656,57990
1176M..pool656,50386
1176N..pool656,43650
1176O..pool656,69646
1176P..pool718,193198
1176Q..pool718,157712
1176R..pool656,46162
1176S..pool656,39498
1176T..pool656,27462
1176U..pool656,71148
1176V..pool656,81744
1176W..pool718,137582
1176X..pool718,128738
1176Y..pool718,218448
1176Z..pool718,235868
1179A..pool656,140150
1179B..pool656,112952
1179C..pool656,49286
1179D..pool718,203548
1179E..pool718,183230
1179F..pool656,105102
1179G..pool656,130426
1179H..pool656,68396
1179I..pool656,68018
1179J..pool656,22420
1179K..pool656,61534
1179L..pool718,175938
1179M..pool718,196598
1179N..pool718,174406
1179O..pool718,164340
1179P..pool718,131542
1179Q..pool718,159622
1179R..pool718,184168
1179S..pool656,45768
1179T..pool718,149822
1179U..pool656,131068
1179V..pool656,75644
1179W..pool718,172946
1179X..pool657,125190
1179Y..pool718,155638
117A..pool537,134984
117B..pool537,106766
117C..pool537,39282
117D..pool537,19784
117E..pool537,91050
1186A..pool718,279300
1186B..pool718,239426
1186C..pool718,311132
1186D..pool718,236266
1186E..pool718,149036
1186F..pool718,142780
1186G..pool718,213916
1186H..pool718,147854
1186I..pool718,141036
1186J..pool718,192592
1186K..pool718,178776
1186L..pool718,202030
1186N..pool718,161810
1186O..pool718,160062
1186Q..pool718,193902
1186S..pool718,215936
1186U..pool685,99732
1186V..pool718,262828
1186W..pool755,67454
118A..pool480,29696
118B..pool480,21582
118C..pool480,4840
1191A..pool718,269946
1191B..pool718,307172
1191C..pool718,288548
1191D..pool718,295452
1191E..pool718,253670
1191F..pool718,285510
1191G..pool718,345680
1191H..pool718,474404
1191J..pool718,149950
1191K..pool718,118848
1191L..pool718,230104
1191M..pool718,158746
1191N..pool718,201108
1191O..pool719,303434
1191P..pool719,236496
1191Q..pool719,224256
1191R..pool719,339298
1191S..pool685,96868
1191T..pool686,47226
1191U..pool686,131532
1191V..pool720,63326
1191W..pool719,313084
1191X..pool719,302540
1191Y..pool719,355758
1191Z..pool740,56852
1192A..pool742,51646
1192B..pool742,48758
1192C..pool719,347982
1192D..pool742,47190
1192E..pool742,54944
1192F..pool742,46022
1192G..pool742,48710
1192H..pool719,214198
1192K..pool742,31494
1192L..pool742,33854
1192M..pool742,31822
1192N..pool742,30348
1192O..pool719,182554
1192P..pool719,122564
1192Q..pool719,144896
1192R..pool686,107410
1192S..pool742,65356
1192T..pool731,87616
1193A..pool656,69858
1193B..pool742,28392
1193C..pool656,116790
1193D..pool742,53896
1193E..pool742,66938
1193F..pool742,56572
1193G..pool656,121126
1193H..pool742,42868
1193I..pool742,53272
1193K..pool656,79172
1193M..pool656,113284
1193N..pool656,68436
1193O..pool731,84246
1195B..pool719,415146
1195C..pool719,279008
1195CC..pool719,206094
1195D..pool719,302662
1195DD..pool719,159514
1195E..pool742,44872
1195EE..pool719,224202
1195F..pool719,130060
1195FF..pool686,75030
1195G..pool719,190246
1195GG..pool720,34446
1195H..pool719,199906
1195HH..pool779,45518
1195I..pool719,196588
1195II..pool779,33204
1195J..pool719,219338
1195K..pool719,164246
1195L..pool719,177146
1195M..pool719,212284
1195N..pool719,221978
1195O..pool719,125180
1195P..pool719,144470
1195Q..pool719,118548
1195R..pool719,144662
1195S..pool719,203656
1195T..pool719,176116
1195U..pool719,140850
1195V..pool719,149714
1195W..pool719,157940
1195X..pool719,206018
1195Y..pool719,180246
1195Z..pool719,184170
1196A..pool720,53396
1196B..pool720,73868
1196C..pool720,57116
1196E..pool731,59160
1196F..pool731,97292
1196G..pool731,64344
1196I..pool731,39694
1196J..pool731,43758
1196L..pool731,34506
1196R..pool720,2374
1197A..pool731,81572
1197B..pool720,57136
1197C..pool720,62006
1197D..pool731,83128
1197E..pool731,62414
1197F..pool731,53984
1197G..pool731,52866
1197H..pool731,64100
1197I..pool731,51726
1197J..pool720,66408
119A..pool537,110894
119B..pool537,86902
119C..pool537,62508
119D..pool483,26970
119E..pool483,17150
1201B..pool677,55206
1201C..pool677,186488
